#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.274270e+00       2.974940e-01       5.107470e-01       1.044216e-02       5.733432e-03       8.221243e-03
          10       1.267036e+00       2.901276e-01       5.088419e-01       2.395510e-02       1.947980e-02       2.139321e-02
          20       1.263592e+00       2.919408e-01       5.099751e-01       3.982333e-02       2.966629e-02       3.541338e-02
          30       1.265440e+00       2.902963e-01       5.101608e-01       2.561685e-02       1.890663e-02       2.258436e-02
          40       1.271631e+00       2.902559e-01       5.101224e-01       1.397094e-02       5.388061e-03       8.090474e-03
          50       1.280753e+00       3.005709e-01       5.140723e-01       2.826410e-02       7.825000e-03       2.395719e-02
          60       1.291735e+00       3.114783e-01       5.186756e-01       3.421412e-02       2.596358e-02       3.062920e-02
          70       1.305730e+00       3.071576e-01       5.232752e-01       2.247015e-02       5.590060e-03       1.864730e-02
          80       1.316431e+00       3.054177e-01       5.284163e-01       1.343241e-02       5.219269e-03       1.137069e-02
          90       1.319193e+00       3.029523e-01       5.310613e-01       3.163560e-02       1.963757e-02       2.689162e-02
         100       1.313500e+00       3.041990e-01       5.296682e-01       4.396883e-02       1.424825e-02       3.586803e-02
         110       1.297789e+00       3.082847e-01       5.222705e-01       2.500188e-02       1.850943e-02       2.147007e-02
         120       1.278917e+00       3.084058e-01       5.123174e-01       1.128273e-02       1.957210e-03       9.119428e-03
         130       1.262204e+00       3.059204e-01       5.057408e-01       4.583024e-02       2.289910e-02       3.739981e-02
         140       1.252512e+00       3.006371e-01       5.034593e-01       3.241812e-02       2.865880e-02       3.109939e-02
         150       1.252136e+00       2.908250e-01       5.033803e-01       1.872508e-02       1.044400e-02       1.631776e-02
         160       1.256838e+00       2.900699e-01       5.051544e-01       2.680562e-02       2.172002e-02       2.434632e-02
         170       1.266774e+00       2.925585e-01       5.109587e-01       3.203059e-02       2.369221e-02       2.918412e-02
         180       1.280594e+00       2.945158e-01       5.153484e-01       3.286159e-02       1.907036e-02       2.774497e-02
         190       1.296300e+00       3.006971e-01       5.193378e-01       1.672993e-02       8.083674e-03       1.446336e-02
         200       1.310236e+00       3.105629e-01       5.247350e-01       2.011731e-02       5.409141e-03       1.655047e-02
         210       1.319114e+00       3.215012e-01       5.283431e-01       3.099000e-02       1.796963e-02       2.678343e-02
         220       1.322684e+00       3.242504e-01       5.293728e-01       2.012972e-02       8.446380e-03       1.752339e-02
         230       1.318685e+00       3.182537e-01       5.281811e-01       1.108568e-02       4.892191e-03       9.520465e-03
         240       1.308143e+00       3.133628e-01       5.241433e-01       2.394765e-02       9.465503e-03       2.005063e-02
         250       1.293612e+00       3.056731e-01       5.193317e-01       2.831109e-02       1.230926e-02       2.392493e-02
         260       1.277815e+00       3.017685e-01       5.139431e-01       2.645246e-02       1.874315e-02       2.303167e-02
         270       1.265868e+00       2.992619e-01       5.080852e-01       2.109579e-02       1.096577e-02       1.753215e-02
         280       1.257169e+00       2.991615e-01       5.042633e-01       2.843210e-02       1.510806e-02       2.360156e-02
         290       1.252785e+00       3.024310e-01       5.028930e-01       3.303963e-02       1.312175e-02       2.870969e-02
         300       1.254999e+00       3.050143e-01       5.024997e-01       1.842045e-02       6.830937e-03       1.585145e-02
