# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    5.47e+01  5.30e+01    5.28e+00  5.28e+00    1.73e+00  1.68e+00    1.0e-03
   1000    4.51e+00  3.75e+00    2.81e-02  2.89e-02    1.84e-01  1.53e-01    6.0e-04
   2000    2.08e+00  1.99e+00    1.84e-02  1.85e-02    1.10e-01  1.05e-01    3.6e-04
   3000    2.55e+00  1.93e+00    6.46e-02  6.48e-02    1.74e-01  1.31e-01    2.1e-04
   4000    1.99e+00  1.67e+00    4.69e-02  4.71e-02    1.75e-01  1.46e-01    1.3e-04
   5000    1.58e+00  1.08e+00    2.83e-02  2.86e-02    1.79e-01  1.22e-01    7.7e-05
   6000    1.19e+00  7.33e-01    1.43e-02  1.47e-02    1.74e-01  1.07e-01    4.6e-05
   7000    9.40e-01  9.33e-01    9.93e-03  9.74e-03    1.76e-01  1.74e-01    2.8e-05
   8000    7.34e-01  5.52e-01    1.71e-03  1.77e-03    1.75e-01  1.32e-01    1.7e-05
   9000    5.77e-01  5.21e-01    3.22e-03  3.08e-03    1.75e-01  1.58e-01    9.9e-06
  10000    2.02e-01  2.24e-01    1.03e-03  2.07e-03    7.67e-02  8.50e-02    5.9e-06
  11000    3.75e-01  3.54e-01    9.74e-04  5.43e-04    1.76e-01  1.66e-01    3.5e-06
  12000    3.11e-01  1.80e-01    1.11e-03  1.06e-03    1.76e-01  1.02e-01    2.1e-06
  13000    2.65e-01  1.97e-01    1.12e-03  8.09e-04    1.76e-01  1.31e-01    1.3e-06
  14000    2.33e-01  2.03e-01    1.09e-03  1.14e-03    1.76e-01  1.53e-01    7.6e-07
  15000    2.12e-01  1.30e-01    9.70e-04  9.36e-04    1.76e-01  1.08e-01    4.6e-07
  16000    1.99e-01  1.65e-01    1.06e-03  8.36e-04    1.76e-01  1.46e-01    2.7e-07
  17000    1.90e-01  1.92e-01    9.72e-04  5.73e-03    1.76e-01  1.78e-01    1.6e-07
  18000    1.84e-01  1.22e-01    9.71e-04  7.53e-04    1.76e-01  1.17e-01    9.8e-08
  19000    1.81e-01  1.53e-01    9.57e-04  9.21e-04    1.76e-01  1.49e-01    5.9e-08
  20000    1.79e-01  1.16e-01    9.55e-04  6.82e-04    1.76e-01  1.14e-01    3.5e-08
